ID_BARRAGEM	MINERIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	METODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE
240	Minerio de Ferro	52,4	15700000	Alteamento a jusante	Baixa	Alta	B
241	Minerio de Ferro	83	53740000	Alteamento a jusante	Baixa	Alta	B
242	Minerio de Ferro	35	510361,84	Etapa unica	Baixa	Alta	B
243	Minerio de Ferro	85	6016849	Alteamento a montante ou desconhecido	Baixa	Alta	B
244	Minerio de Ouro Primario	15	1010000	Etapa unica	Baixa	Media	C
245	Minerio de Ouro Primario	15	1188168,57	Etapa unica	Baixa	Media	C
246	Minerio de Ouro Primario	11,8	530359,06	Etapa unica	Baixa	Media	C
247	Minerio de Ouro Primario	46,3	1749516,71	Alteamento a jusante	Baixa	Media	C
248	Minerio de Ferro	25	950000	Etapa unica	Baixa	Alta	B
249	Minerio de Ferro	64,9	34000000	Etapa unica	Baixa	Alta	B
250	Minerio de Ferro	10	20500	Etapa unica	Baixa	Alta	B
251	Minerio de Ouro Primario	18	684133,45	Etapa unica	Baixa	Alta	B
252	Minerio de Ferro	35	9500000	Alteamento a montante ou desconhecido	Baixa	Alta	B
253	Minerio de Ferro	40	843809	Etapa unica	Baixa	Alta	B
254	Minerio de Ferro	40	843809	Etapa unica	Baixa	Alta	B
255	Minerio de Ferro	22,5	22200	Etapa unica	Baixa	Media	C
256	Pegmatito	40	658400	Alteamento a montante ou desconhecido	Baixa	Alta	B
257	Pegmatito	32	1258000	Alteamento a montante ou desconhecido	Baixa	Alta	B
258	Pegmatito	19	264601,17	Etapa unica	Baixa	Alta	B
259	Minerio de Ferro	4,25	27525	Etapa unica	Baixa	Media	C
260	Minerio de Ferro	4,2	84510,65	Etapa unica	Baixa	Media	C
261	Minerio de Manganes	4,95	169312,5	Etapa unica	Baixa	Alta	B
262	Minerio de Ferro	11	103000	Etapa unica	Baixa	Media	C
263	Minerio de Ferro	23	600000	Alteamento a montante ou desconhecido	Baixa	Alta	B
