ID_BARRAGEM	MINERIO PRINCIPAL	ALTURA ATUAL (m)	VOLUME ATUAL (m3)	METODO CONSTRUTIVO	CATEGORIA DE RISCO	DANO POTENCIAL ASSOCIADO	CLASSE
563	Sedimento	10	8000	Etapa unica			
564	Sedimento	10	12000	Alteamento a jusante			
565	Sedimento	7,5	14457,6	Etapa unica			
566	Sedimento	7,5	16557	Etapa unica			
567	Argila Arenosa	13	15524	Etapa unica			
568	Sedimento	8	17000	Etapa unica			
569	Sedimento	5	30	Etapa unica			
570	Argila Arenosa	8,8	3800	Etapa unica			
571	Argila Arenosa	10	8750	Etapa unica			
572	Argila Arenosa	10,2	5000	Etapa unica			
573	Argila Arenosa	12	10000	Etapa unica			
574	Argila Arenosa	9,4	5600	Etapa unica			
575	Sedimento	4	13134,76	Etapa unica			
576	Minerio de Ferro	4	1600	Etapa unica			
577	Serpentinito	14,87	2376	Etapa unica			
578	Argila	0	0	Indefinido			
579	Minerio de Ferro	8	11250	Etapa unica			
580	Minerio de Ferro	9,9	10000	Etapa unica			
581	Fosfato	9,5	22000	Alteamento a jusante			
582	Minerio de Ferro	6	57000	Etapa unica			
583	Argila Arenosa	12	12000	Etapa unica			
584	Argila Arenosa	2	100	Etapa unica			
585	Argila Arenosa	9,2	15100	Etapa unica			
586	Argila Arenosa	10,6	7100	Etapa unica			
587	Argila Arenosa	3,8	1350	Etapa unica			
588	Minerio de Ferro	4,3	88750	Etapa unica			
589	Argila Arenosa	10	10120	Etapa unica			
590	Minerio de Ferro	5	1200	Etapa unica			
591	Minerio de Ferro	8	3830,74	Alteamento a jusante			
592	Minerio de Ferro	12,64	5000	Etapa unica			
593	Areia	4	90	Indefinido			
594	Minerio de Ferro	5	3524,96	Etapa unica			
595	Minerio de Ferro	7,5	47900	Alteamento a jusante			
596	Minerio de Ferro	7,15	7000	Etapa unica			
597	Calcario Dolomitico	3	10650	Indefinido			
598	Calcario Dolomitico	2	17950	Indefinido			
599	Calcario Dolomitico	3	2850	Indefinido			
600	Argila	6	96000	Etapa unica			
601	Minerio de Ferro	8	7185,66	Etapa unica			
602	Minerio de Ferro	7	12912,54	Etapa unica			
603	Minerio de Ferro	11,4	10626,16	Alteamento a jusante			
604	Minerio de Ferro	12	7000	Etapa unica			
605	Xisto	2	2000	Indefinido			
606	Minerio de Ferro	9	38558,57	Etapa unica			
607	Argila Arenosa	8,46	0	Etapa unica			
608	Minerio de Ferro	10,75	20000	Etapa unica			
609	Areia	3	15000	Indefinido			
610	Bauxita Grau Metalurgico	11,33	200000	Indefinido			
611	Argila Arenosa	13	150000	Etapa unica			
612	Minerio de Ferro	12	12000	Etapa unica			
613	Minerio de Ferro	4	5233,2	Etapa unica			
614	Minerio de Manganes	10,07	9479	Etapa unica			
615	Minerio de Manganes	11,69	5662	Etapa unica			
616	Minerio de Manganes	13,05	5862	Etapa unica			
617	Minerio de Ferro	9,6	10275	Etapa unica			
618	Minerio de Ferro	9,6	7557	Etapa unica			
619	Minerio de Ferro	4,31	5397,71	Etapa unica			
620	Minerio de Ferro	5	4385	Etapa unica			
621	Minerio de Ferro	5	3766	Etapa unica			
622	Minerio de Ferro	5	2319,8	Etapa unica			
623	Minerio de Ferro	5	7259,8	Etapa unica			
624	Minerio de Ferro	5,25	8032,89	Etapa unica			
625	Minerio de Ferro	10	76000	Etapa unica			
626	Areia	14	300000	Alteamento a jusante			
627	Areia	3	350000	Alteamento por linha de centro			
628	Minerio de Ouro Primario	5	146000	Indefinido			
629	Rocha Aurifera	8	450000	Indefinido			
630	Rocha Aurifera	6	124650	Indefinido			
631	Minerio de Ouro Primario	5	7500	Indefinido			
632	Minerio de Ouro Primario	2	100	Indefinido			
633	Areia	7,5	54608	Indefinido			
634	Rocha Aurifera	10	100000	Indefinido			
635	Rocha Aurifera	11	1815000	Alteamento por linha de centro			
636	Minerio de Ouro Primario	13,49	483417,27	Alteamento a jusante			
637	Minerio de Ouro Primario	6	153602,7	Alteamento a jusante			
638	Areia	14	660000	Alteamento a jusante			
639	Areia	12	1248000	Alteamento a jusante			
640	Areia	11,5	400000	Alteamento a jusante			
641	Rocha Aurifera	5	192200	Indefinido			
642	Rocha Aurifera	5	92000	Indefinido			
643	Areia	8	484000	Alteamento a jusante			
644	Areia	14	400000	Alteamento a jusante			
645	Areia	10	150000	Alteamento a jusante			
646	Areia	10	150000	Alteamento a jusante			
647	Argila	14,75	450000	Alteamento a jusante			
648	Areia	2	590000	Alteamento a jusante			
649	Areia	14,5	483000	Alteamento a jusante			
650	Aluviao Aurifero	1	2	Indefinido			
651	Minerio de Ouro Primario	8	238605,87	Alteamento a jusante			
652	Areia	6	810000	Alteamento a jusante			
653	Argila	14,9	1300000	Alteamento a jusante			
654	Rocha Diamantifera	4	424000	Indefinido			
655	Areia	3	140000	Alteamento a jusante			
656	Aluviao Aurifero	1	2	Indefinido			
657	Minerio de Ferro	8,5	188680,72	Etapa unica			
658	Minerio de Ferro	7	34000	Etapa unica			
659	Minerio de Manganes	3,5	1965306	Etapa unica			
660	Minerio de Ferro	14,61	165320	Etapa unica			
661	Minerio de Ferro	7,3	30114	Etapa unica			
662	Argila	11	422000	Alteamento a montante ou desconhecido			
663	Argila	8	103000	Alteamento a montante ou desconhecido			
664	Areia e Cascalho	3	5250	Indefinido			
665	Areia e Cascalho	3	10500	Indefinido			
666	Minerio de Ferro	2,9	10670	Etapa unica			
667	Minerio de Ferro	2,4	2467	Etapa unica			
668	Minerio de Ferro	2,4	4511	Etapa unica			
669	Argila Arenosa	6	1	Etapa unica			
670	Minerio de Niquel	5,9	87700	Etapa unica			
671	Minerio de Niquel	10,85	405554,9	Etapa unica			
672	Minerio de Niquel	10,5	78000	Etapa unica			
673	Minerio de Niquel	13,6	295000	Etapa unica			
674	Minerio de Niquel	6,2	28500	Etapa unica			
675	Minerio de Niquel	4,8	21300	Etapa unica			
676	Minerio de Ferro	5,03	6333	Indefinido			
677	Minerio de Niquel	8,1	1862231	Etapa unica			
678	Bauxita Grau Nao Metalurgico	12	750000	Etapa unica			
679	Caulim	11	600000	Etapa unica			
680	Caulim	9	412800	Etapa unica			
681	Minerio de Ferro	2,5	21520	Etapa unica			
682	Minerio de Ouro Secundario	5	400000	Etapa unica			
683	Argila Arenosa	5	100000	Etapa unica			
684	Argila Arenosa	6,5	1120	Etapa unica			
685	Argila Arenosa	5	7000	Etapa unica			
686	Argila Arenosa	5,5	50000	Etapa unica			
687	Argila Arenosa	4	6000	Etapa unica			
688	Argila Arenosa	7	220000	Etapa unica			
689	Areia	3	0	Indefinido			
690	Minerio de Ferro	12	496059,42	Etapa unica			
691	Minerio de Niquel	8,5	494416	Etapa unica			
692	Areia Quartzosa	3	450	Indefinido			
693	Saibro	1	500	Indefinido			
694	Quartzito	1,5	900	Indefinido			
695	Areia	8	80000	Indefinido			
696	Minerio de Ferro	4,5	333438	Etapa unica			
697	Areia e Cascalho	3	31250	Indefinido			
698	Areia e Cascalho	3,5	31250	Indefinido			
699	Areia e Cascalho	4,5	7500	Indefinido			
700	Areia e Cascalho	4,5	7500	Indefinido			
701	Areia e Cascalho	4,5	7500	Indefinido			
702	Argila	3	31250	Indefinido			
703	Argila	3	31250	Indefinido			
704	Minerio de Estanho Secundario	10	1300000	Etapa unica			
705	Aluviao Estanifero	5	60000	Etapa unica			
706	Argila Arenosa	2	1296	Indefinido			
707	Argila Arenosa	2	17848	Indefinido			
708	Argila Arenosa	3	124125	Indefinido			
709	Argila Arenosa	2	16000	Indefinido			
710	Areia e Cascalho	6	45500	Indefinido			
711	Argila Arenosa	2	30800	Indefinido			
712	Areia	4	600000	Indefinido			
713	Areia	5	4000	Etapa unica			
714	Areia	13	111000	Indefinido			
715	Carvao Mineral Camada Barro Branco	3	9542,2	Etapa unica			
716	Carvao Mineral Camada Barro Branco	2,2	3500	Indefinido			
717	Sais	6	6362,07	Etapa unica			
718	Areia	3	140059	Etapa unica			
719	Argila	10	492348	Etapa unica			
720	Argila	8	663184	Alteamento a jusante			
721	Granito	4	56000	Etapa unica			
722	Argila Arenosa	0	365000	Indefinido			
723	Argila	13	588484	Etapa unica			
724	Argila	0	140000	Indefinido			
725	Areia	0	180000	Etapa unica			
726	Argila	0	120000	Indefinido			
727	Argila	0	92000	Indefinido			
728	Argila	6	565500	Etapa unica			
729	Argila	10,6	740000	Etapa unica			
730	Areia	0	0	Etapa unica			
731	Argila	0	300000	Indefinido			
732	Areia	0	0	Etapa unica			
733	Areia	0	385000	Indefinido			
734	Argila	5	40000	Etapa unica			
735	Argila	8	15000	Etapa unica			
736	Argila	10	12000	Etapa unica			
737	Argila Arenosa	0	130000	Indefinido			
738	Granito	3,5	30000	Indefinido			
739	Argila	3	2700	Indefinido			
740	Argila Arenosa	0	325000	Indefinido			
741	Argila	5	78300	Etapa unica			
742	Argila Arenosa	11	270000	Indefinido			
743	Argila Arenosa	0	310000	Indefinido			
744	Areia Industrial	12,75	245447,47	Etapa unica			
745	Argila	5	399000	Etapa unica			
746	Argila	4	28000	Etapa unica			
747	Argila	8	115200	Etapa unica			
748	Argila	8	933900	Etapa unica			
749	Argila	7	345000	Etapa unica			
750	Argila	12	290000	Etapa unica			
751	Argila	14	1472940	Etapa unica			
752	Argila Arenosa	8	96500	Indefinido			
753	Argila Arenosa	7	194676,65	Indefinido			
754	Areia	10	0	Etapa unica			
755	Caulim	13,4	117462,8	Indefinido			
756	Argila Arenosa	12,5	350000	Indefinido			
757	Argila Arenosa	12	556508,4	Indefinido			
758	Argila Arenosa	2	9624	Indefinido			
759	Argila	3	35000	Etapa unica			
760	Argila Arenosa	12	14460	Indefinido			
761	Argila	3	40000	Etapa unica			
762	Argila Arenosa	7	30000	Alteamento por linha de centro			
763	Areia	2	1800	Etapa unica			
764	Argila	8	86240	Etapa unica			
765	Argila Arenosa	5,7	39000	Indefinido			
766	Sedimento	5	9750	Etapa unica			
767	Sedimento	8	86000	Etapa unica			
768	Sedimento	8	70800	Etapa unica			
769	Argila	5	600000	Etapa unica			
